scan_date,ticker,company,strategy,strategies_count,price_at_scan,score,wr,avg,adx,rsi,vol_ratio,price_d5,ret_d5,r_multiple_d5,spy_ret_d5,excess_ret_d5,hit_stop_loss_d5,price_d10,ret_d10,r_multiple_d10,spy_ret_d10,excess_ret_d10,hit_stop_loss_d10,max_drawdown_d10
2026-06-22,LUV,,nr7,1,47.97,4,42.9,0.18,26.4,66.9,1.67,51.6,7.57,,-0.46,8.03,0,50.25,4.75,,0.05,4.7,0,-1.54
2026-06-22,MMM,,nr7,1,160.6,4,36.4,-0.28,33.3,69.3,1.75,162.43,1.14,,-0.46,1.6,0,160.44,-0.1,,0.05,-0.15,0,-0.86
2026-06-22,AC.PA,,nr7,2,48.27,3,27.3,-0.4,24.2,65.6,0.1,50.26,4.12,,,,0,50.54,4.7,,,,0,-0.56
2026-06-22,DBK.DE,,nr7,1,31.02,1,25.0,0.11,21.6,72.0,0.11,29.7,-4.26,,,,1,30.795,-0.73,,,,1,-5.34
2026-06-22,HSIC,,nr7,1,79.92,4,0.0,-2.79,34.1,66.2,1.49,84.29,5.47,,-0.46,5.93,0,86.43,8.15,,0.05,8.1,0,-1.63
2026-06-22,BAB.L,,bb_squeeze,1,992.2,2,100.0,3.22,21.0,36.8,0.28,931.0,-6.17,,,,1,1020.0,2.8,,,,1,-9.05
2026-06-22,INTC,,high_tight_flag,1,133.99,5,33.3,13.1,29.9,61.0,1.78,131.72,-1.69,,-0.46,-1.23,0,120.35,-10.18,,0.05,-10.23,1,-12.21
2026-06-22,DELL,,high_tight_flag,2,409.5,3,0.0,-6.02,47.7,47.5,1.17,414.61,1.25,,-0.46,1.71,0,394.32,-3.71,,0.05,-3.76,1,-7.53
2026-06-22,GEV,,breakout,1,1109.73,8,75.0,3.64,20.1,68.2,1.44,1102.51,-0.65,,-0.46,-0.19,0,1113.11,0.3,,0.05,0.25,1,-7.81
2026-06-22,USB,,breakout,2,58.14,6,100.0,2.52,21.2,62.0,2.37,61.28,5.4,,-0.46,5.86,0,61.73,6.17,,0.05,6.12,0,-0.66
2026-06-22,MRK.DE,,breakout,1,132.7,4,75.0,1.67,25.4,54.7,0.06,146.45,10.36,,,,0,146.05,10.06,,,,0,-0.45
2026-06-22,ALW.L,,breakout,2,1333.0,4,66.7,-0.24,20.4,56.0,0.23,1340.8459,0.59,,,,0,1340.0,0.53,,,,0,-2.18
2026-06-22,DAL,,breakout,1,84.18,6,50.0,-3.35,30.0,53.4,1.87,93.17,10.68,,-0.46,11.14,0,92.75,10.18,,0.05,10.13,0,0.01
2026-06-22,BBOX.L,,breakout,1,152.4,4,50.0,2.07,22.3,54.3,0.17,162.1,6.36,,,,0,162.1,6.36,,,,0,-1.9
2026-06-22,SIE.DE,,breakout,1,275.7,5,40.0,0.57,18.2,46.4,0.16,268.3,-2.68,,,,0,271.0,-1.7,,,,1,-3.61
2026-06-22,CBK.DE,,breakout,1,38.15,6,37.5,-1.32,18.3,56.1,0.26,37.46,-1.81,,,,0,37.39,-1.99,,,,0,-2.86
2026-06-22,AVGO,,breakout,1,411.35,4,33.3,-2.31,19.7,42.8,1.28,372.45,-9.46,,-0.46,-9.0,1,360.45,-12.37,,0.05,-12.42,1,-13.35
2026-06-22,DBK.DE,,breakout,2,31.21,6,0.0,-5.63,21.6,73.4,0.15,29.7,-4.84,,,,1,30.795,-1.33,,,,1,-5.91
2026-06-22,BNP.PA,,breakout,1,101.72,6,0.0,-1.3,18.8,75.2,0.13,100.54,-1.16,,,,0,101.56,-0.16,,,,0,-1.72
2026-06-22,EDEN.PA,,breakout,1,23.34,6,,,32.8,60.8,0.08,22.74,-2.57,,,,0,22.72,-2.66,,,,1,-6.56
2026-06-22,ADS.DE,,breakout,1,172.85,4,,,29.5,58.5,0.19,180.2,4.25,,,,0,182.3,5.47,,,,0,-1.21
2026-06-22,ITW,,pocket_pivot,1,264.09,4,0.0,-4.28,20.6,70.7,1.82,267.47,1.28,,-0.46,1.74,0,272.76,3.28,,0.05,3.23,0,-1.67
2026-06-22,UPS,,connors_rsi2,1,104.86,2,75.0,-0.51,18.1,46.3,2.27,108.01,3.0,,-0.46,3.46,0,110.66,5.53,,0.05,5.48,0,-1.92
2026-06-22,PNC,,connors_rsi2,2,232.04,3,60.0,1.2,24.5,61.3,2.22,246.73,6.33,,-0.46,6.79,0,249.49,7.52,,0.05,7.47,0,0.07
2026-06-22,BAC,,connors_rsi2,1,56.2,3,53.8,0.31,30.8,83.3,1.78,57.88,2.99,,-0.46,3.45,0,58.73,4.5,,0.05,4.45,0,1.09
